지점명,주소,전화번호,지점의특징,시군구
홍익대,서울 마포구 홍익로 3,02-324-6688,대학상권,마포구
명지대,서울 서대문구 거북골로 23,02-374-7300,대학상권,서대문구
신촌,서울 서대문구 신촌로 121 아남오피스텔,02-3147-1248,주거,서대문구
신촌로데오,서울 서대문구 연세로 23,02-322-9431,주거,서대문구
연희,서울 서대문구 연희로 93 연희오피스텔,02-333-0388,주거,서대문구
이대,서울 서대문구 이화여대길 34 1층,02-364-8870,대학상권,서대문구
충정로,서울 서대문구 충정로 23 풍산빌딩 지하 2층,02-393-8609,주거,서대문구
홍제,서울 서대문구 통일로 432-1,02-736-6535,주거,서대문구
신논현,서울 서초구 강남대로 499,02-544-1014,업무지구,서초구
논현역,서울 서초구 강남대로 535 프린스빌딩,02-512-1014,업무지구,서초구
양재역,서울 서초구 남부순환로 2606 1층,02-579-5227,업무지구,서초구
사당역,서울 서초구 동작대로 24,02-6941-0386,업무지구,서초구
양재하이브랜드,서울 서초구 매헌로 16 하이브랜드,02-2155-2090,업무지구,서초구
서초법원,서울 서초구 법원로1길 1,02-595-1718,업무지구,서초구
강남역GT타워,"서울 서초구 서초대로 411 GT타워 동관 1층 1호,2호,3호",02-3478-1014,업무지구,서초구
교대,서울 서초구 서초중앙로22길 47 문화빌딩 1층,02-581-0696,업무지구,서초구
서울고속터미널,서울 서초구 신반포로 194 본관지하10호,02-595-8900,업무지구,서초구
방배,서울 서초구 효령로 111 1층,02-896-6000,업무지구,서초구
신금호역,서울 성동구 금호로 173,02-2235-6392,업무지구,성동구
한양대,서울 성동구 마조로11,02-2299-3555,대학상권,성동구
성수역,서울 성동구 아차산로 113,02-497-2800,업무지구,성동구
서울숲,서울 성동구 왕십리로 108-1,02-499-2900,업무지구,성동구
왕십리역,서울 성동구 왕십리로 328,02-2295-1800,업무지구,성동구
상왕십리,서울 성동구 왕십리로 410 센트라스,02-2296-9898,업무지구,성동구
고려대,서울 성북구 고려대로 24길 20,02-926-1269,대학상권,성북구
길음뉴타운,서울 성북구 길음로 7길 6,02-918-7432,주거,성북구
장위뉴타운,서울 성북구 돌곶이로40길 46 꿈의숲 아이파크 717동 상가,02-941-0678,주거,성북구
한성대,서울 성북구 동소문로 10,02-744-4949,대학상권,성북구
정릉,서울 성북구 보국문로 40,02-6498-8889,주거,성북구
국민대학교,서울 성북구 정릉로 77 북악관,02-910-6895,대학상권,성북구
종암,서울 성북구 종암로 110,02-909-0501,주거,성북구
동덕여대,서울 성북구 화랑로13길 10,02-6404-2212,대학상권,성북구
방이역,서울 송파구 마천로 39,02-413-4292,주거,송파구
삼전역,서울 송파구 백제고분로 197 1층 101호,02-425-5141,주거,송파구
문정역,서울 송파구 법원로 114 현대엠스테이트 C동 119호,02-3012-1259,주거,송파구
석촌호수,서울 송파구 석촌호수로 298,02-424-0020,주거,송파구
송파역,서울 송파구 송파대로 374,02-420-2160,주거,송파구
석촌역,"서울 송파구 송파대로 438 106호, 107호",02-420-4320,주거,송파구
거여역,서울 송파구 오금로 525,02-408-3031,주거,송파구
잠실새내역,서울 송파구 올림픽로 130,02-425-5582,주거,송파구
잠실역,서울 송파구 올림픽로 293-19,02-2202-1300,주거,송파구
가락시장,서울 송파구 중대로 109 대동빌딩 1층,02-6285-6110,주거,송파구
문정법조,서울 송파구 충민로 5 송파한화오벨리스크,02-403-7344,주거,송파구
등촌역,서울 양천구 공항대로 552 101호,02-6053-2543,주거,양천구
양천구청,서울 양천구 목동서로 349 센트럴프라자,02-2652-2521,주거,양천구
목동역,서울 양천구 오목로 238 론드사옥 1층,02-2603-5368,주거,양천구
신정네거리역,서울 양천구 중앙로 265,02-2607-9979,주거,양천구
여의도화재보험,서울 영등포구 국제금융로 6길 38,02-6951-1118,업무지구,영등포구
여의도국회의사당,서울 영등포구 국회대로 70길 19,02-761-1003,업무지구,영등포구
여의도KBS 본관,서울 영등포구 국회대로62길 25 교육시설재난공제회관,02-782-1518,업무지구,영등포구
문래,서울 영등포구 선유로 70,02-2637-3002,업무지구,영등포구
대림삼거리,서울 영등포구 시흥대로 681 삼성YJ그랜드빌딩 신관동 1층,02-847-8255,업무지구,영등포구
선유도역,서울 영등포구 양평로 121,02-2632-1232,업무지구,영등포구
당산역,서울 영등포구 양평로 58,02-2636-1014,업무지구,영등포구
영등포,서울 영등포구 영중로 25,02-2635-5255,업무지구,영등포구
한남,서울 용산구 대사관로 63,02-790-2286,업무지구,용산구
이태원역,서울 용산구 이태원로 189,02-790-1014,업무지구,용산구
용산전자랜드,서울 용산구 청파로 74 전자랜드 본관 A동 104호,02-706-6227,업무지구,용산구
숙명여대,서울 용산구 청파로47길 42,02-702-2454,대학상권,용산구
남영역,서울 용산구 한강대로 271,02-706-5007,업무지구,용산구
용산역,서울 용산구 한강대로 69,02-790-2220,업무지구,용산구
서울역동자,서울 용산구 후암로 107 게이트웨이타워,02-777-8552,업무지구,용산구
구산역,서울 은평구 서오릉로 150,02-355-4650,주거,은평구
연신내,서울 은평구 연서로 215-1,02-352-1500,주거,은평구
응암,서울 은평구 은평로 108 101호,02-357-1479,주거,은평구
은평구청,서울 은평구 은평로 200-1,02-388-1479,주거,은평구
구파발역,서울 은평구 진관2로 29-21 드림스퀘어,02-3157-3167,주거,은평구
북촌,서울 종로구 계동길 5,02-747-4400,업무지구,종로구
대학로,서울 종로구 동숭길 101 현대엘리베이터,02-764-5656,대학상권,종로구
경복궁,서울 종로구 사직로 115,02-725-5926,업무지구,종로구
광화문,서울 종로구 새문안로 3길 19,02-723-7222,업무지구,종로구
성균관대,서울 종로구 성균관로 25-2 600주년기념관 지하 1층,02-3673-0102,대학상권,종로구
독립문,서울 종로구 송월길 155 경희궁자이4단지 상가 1층 4104-4106호,02-730-8255,업무지구,종로구
안국,서울 종로구 우정국로 69 동일빌딩(조계사 인근),02-735-9000,업무지구,종로구
종로5가,서울 종로구 종로 213-1,02-766-7537,업무지구,종로구
동대문역,서울 종로구 종로 263-1,02-747-9809,업무지구,종로구
종로,서울 종로구 종로 77 통일빌딩,02-737-0034,업무지구,종로구
성대,서울 종로구 창경궁로 234 동화빌딩,02-741-0677,대학상권,종로구
을지로입구,서울 중구 남대문로 112,02-730-8777,업무지구,중구
약수역,서울 중구 다산로 153,02-2256-9891,업무지구,중구
명동성당,서울 중구 명동길 74 명동성당 B118호,02-318-6202,업무지구,중구
정동,서울 중구 새문안로 30,02-737-0808,업무지구,중구
시청,서울 중구 세종대로 68 천일빌딩,02-777-9200,업무지구,중구
회현,서울 중구 소공로 35 남산롯데캐슬아이리스,02-3789-6467,업무지구,중구
을지로3가,서울 중구 을지로 103-1,02-2275-9890,업무지구,중구
동대문역사문화공원,서울 중구 장충단로 227-2,02-2269-2100,업무지구,중구
순화동라마다,서울 중구 칠패로 27 순화동 the# 주상복합,02-776-4518,업무지구,중구
충무로,서울 중구 퇴계로 197,010-5100-0476,업무지구,중구
신당역,서울 중구 퇴계로 388,02-2231-7088,업무지구,중구
묵동,서울 중랑구 동일로 952 로프트원 태릉입구역,02-978-3434,주거,중랑구
중랑역,서울 중랑구 망우로 203,02-437-7300,주거,중랑구
상봉역,서울 중랑구 망우로 316,02-432-2938,주거,중랑구
망우,서울 중랑구 용마산로115길 127 한일써너스빌리젠시1단지,02-432-9888,주거,중랑구
