지점명,주소,전화번호,지점의특징,시군구
위례점,서울특별시 송파구 위례광장로 188,02-400-3082,신도시/주거,송파구
목동점,서울특별시 양천구 목동동로 100,02-2649-3082,학원가/주거,양천구
신월점,서울특별시 양천구 곰달래로 13,02-2601-3082,주거밀집지역,양천구
양천점,서울특별시 양천구 목동중앙본로 54,02-2646-3082,주거밀집지역,양천구
여의도점,서울특별시 영등포구 국제금융로 86,02-782-3082,업무중심지구,영등포구
영등포점,서울특별시 영등포구 영중로 119,02-2634-3082,상업중심지구,영등포구
대림점,서울특별시 영등포구 신길로 39,02-841-3082,주거/상업혼합,영등포구
당산점,서울특별시 영등포구 당산로 171,02-2672-3082,역세권/주거,영등포구
이태원점,서울특별시 용산구 이태원로 211,02-790-3082,관광특구,용산구
이촌점,서울특별시 용산구 이촌로 84,02-796-3082,고급주거지구,용산구
후암점,서울특별시 용산구 후암로 63,02-756-3082,주거/오피스혼합,용산구
구파발점,서울특별시 은평구 진관4로 17,02-384-3082,신도시/상권,은평구
은평점,서울특별시 은평구 은평로 170,02-388-3082,관공서/상권,은평구
역촌점,서울특별시 은평구 갈현로 80,02-356-3082,주거밀집지역,은평구
평창점,서울특별시 종로구 평창문화로 66,02-391-3082,고급주거지구,종로구
혜화점,서울특별시 종로구 창경궁로 253,02-747-3082,대학가/문화지구,종로구
명동점,서울특별시 중구 마른내로 47,02-2264-3081,관광/상업지구,중구
신당점,서울특별시 중구 다산로 156,02-2233-3082,주거/상업혼합,중구
면목점,서울특별시 중랑구 용마산로86길 9-27,02-435-3098,주거밀집지역,중랑구
망우점,서울특별시 중랑구 망우로 363,02-432-3082,주거/상권혼합,중랑구
묵동점,서울특별시 중랑구 동일로 946,02-971-3082,주거밀집지역,중랑구
